,date,type,location,fatalities,ground_fatalities,crew,passengers,operator,first_flight,damage,phase,nature,manufacturer,year,month,day,aircraft_age
8296,2003-12-25,Boeing 727-223,Benin,141,0,10.0,153.0,UTA,1977-01-01,Destroyed,Takeoff (TOF),International Scheduled Passenger,Boeing,2003,December,Thursday,9854
8297,2003-12-27,Cessna 208B Grand Caravan,Malawi,0,1,1.0,8.0,Air Malawi,1998-01-01,Substantial,Takeoff (TOF),Domestic Non Scheduled Passenger,Cessna,2003,December,Saturday,2186
8298,2004-01-03,Boeing 737-3Q8,Egypt,148,0,13.0,135.0,Flash Airlines,1992-01-01,Destroyed,En route (ENR),Domestic Non Scheduled Passenger,Boeing,2004,January,Saturday,4385
8299,2004-01-13,Yakovlev Yak-40,Uzbekistan,37,0,5.0,32.0,Uzbekistan Airways,1975-01-01,Destroyed,Landing (LDG),Domestic Scheduled Passenger,Yakovlev,2004,January,Tuesday,10604
8300,2004-01-17,Cessna 208B Grand Caravan,Canada,10,0,1.0,9.0,Georgian Express,1998-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Cessna,2004,January,Saturday,2207
8301,2004-01-28,Beech 1900D,Algeria,1,0,3.0,2.0,Tassili Airlines,1999-01-01,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,Beech,2004,January,Wednesday,1853
8302,2004-02-10,Fokker 50,United Arab Emirates,43,0,6.0,40.0,Kish Air,1993-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Fokker,2004,February,Tuesday,4057
8303,2004-02-24,Cessna 500 Citation I,Italy,6,0,3.0,3.0,City-jet Luftfahrtgesellschaft,1976-01-01,Destroyed,Approach (APR),Ambulance,Cessna,2004,February,Tuesday,10281
8304,2004-02-26,Beech 200 Super King Air,Bosnia and Herzegovina,9,0,2.0,7.0,Macedonian Government,1980-01-01,Destroyed,Approach (APR),Official state flight,Beech,2004,February,Thursday,8822
8305,2004-03-04,Ilyushin Il-76MD,Azerbaijan,3,0,7.0,0.0,Azov-Avia Airlines,1986-01-01,Damaged beyond repair,Initial climb (ICL),Cargo,Ilyushin,2004,March,Thursday,6637
8306,2004-03-08,Canadair CL-415,France,2,0,3.0,0.0,Securit� Civile,1996-01-01,Damaged beyond repair,Unknown (UNK),Training,Canadair,2004,March,Monday,2989
8308,2004-03-16,Beech 1900C,United States of America,5,0,1.0,4.0,USAF,1985-01-01,Damaged beyond repair,Approach (APR),Military,Beech,2004,March,Tuesday,7014
8309,2004-03-24,Antonov An-2SX,Russia,3,0,2.0,1.0,private,1988-01-01,Damaged beyond repair,Approach (APR),Agricultural,Antonov,2004,March,Wednesday,5927
8310,2004-05-04,Cessna 208B Grand Caravan,Venezuela,7,0,2.0,5.0,Bol�var Government,2001-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Cessna,2004,May,Tuesday,1219
8311,2004-05-05,Swearingen SA227-AC Metro III,Colombia,5,0,2.0,5.0,Aerotransporte Petrolero,1987-01-01,Damaged beyond repair,Approach (APR),Executive,Swearingen,2004,May,Wednesday,6334
8312,2004-05-05,BN-2B-27 Islander,Mexico,2,0,1.0,1.0,Consejo de Recursos Minerales,1981-01-01,Damaged beyond repair,En route (ENR),Survey/research,BN-2B-27,2004,May,Wednesday,8525
8314,2004-05-11,Antonov An-12BP,Sudan,7,0,7.0,0.0,El Magal Aviation,1961-01-01,Damaged beyond repair,En route (ENR),Cargo,Antonov,2004,May,Tuesday,15836
8315,2004-05-14,Embraer EMB-120ER Brasilia,Brazil,33,0,3.0,30.0,Rico Linhas A�reas,1988-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Embraer,2004,May,Friday,5978
8316,2004-05-18,Ilyushin Il-76TD,China,7,0,7.0,0.0,"Silk Way, op.for Azal Cargo",1985-01-01,Damaged beyond repair,Initial climb (ICL),Cargo,Ilyushin,2004,May,Tuesday,7077
8318,2004-05-23,Let L-410UVP-E3,Kenya,2,0,2.0,0.0,Blue Bird Aviation,1987-01-01,Damaged beyond repair,Unknown (UNK),Cargo,Let,2004,May,Sunday,6352
8319,2004-05-25,DHC-6 Twin Otter 300,Nepal,3,0,3.0,0.0,Yeti Airlines,1979-01-01,Damaged beyond repair,Approach (APR),Cargo,DHC-6,2004,May,Tuesday,9276
8320,2004-06-08,Hawker Siddeley HS-748,Gabon,19,0,4.0,26.0,Gabon Express,1967-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Hawker,2004,June,Tuesday,13673
8321,2004-06-13,Beech 200 Super King Air,United States of America,2,0,2.0,0.0,Rader Aviation,1981-01-01,Destroyed,En route (ENR),Ferry/positioning,Beech,2004,June,Sunday,8564
8322,2004-06-14,Volpar Turboliner,United States of America,1,0,1.0,0.0,Bellair,1952-01-01,Damaged beyond repair,Approach (APR),Cargo,Volpar,2004,June,Monday,19158
8323,2004-06-26,Lisunov Li-2T,Russia,4,0,3.0,2.0,FLA RF,1952-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Lisunov,2004,June,Saturday,19170
8324,2004-06-28,Beech 200 Super King Air,Mozambique,2,0,2.0,0.0,Ngangeni Air Charters,1977-01-01,Damaged beyond repair,Takeoff (TOF),Ambulance,Beech,2004,June,Monday,10040
8325,2004-07-02,IAI 1124 Westwind,Panama,6,1,2.0,4.0,Air Trek,1979-01-01,Damaged beyond repair,Takeoff (TOF),Ambulance,IAI,2004,July,Friday,9314
8326,2004-07-12,Convair CV-440,Atlantic Ocean,1,0,2.0,0.0,Dodita Air Cargo,1956-01-01,Damaged beyond repair,En route (ENR),Cargo,Convair,2004,July,Monday,17725
8327,2004-07-29,DHC-6 Twin Otter 300,Papua New Guinea,2,0,3.0,0.0,Airlines PNG,1973-01-01,Damaged beyond repair,En route (ENR),Cargo,DHC-6,2004,July,Thursday,11532
8328,2004-08-10,Grumman HU-16A Albatross,Mexico,1,0,3.0,0.0,Unknown,1950-01-01,Damaged beyond repair,Landing (LDG),Illegal Flight,Grumman,2004,August,Tuesday,19945
8329,2004-08-13,Convair CV-580,United States of America,1,0,2.0,0.0,Air Tahoma,1953-01-01,Damaged beyond repair,Approach (APR),Cargo,Convair,2004,August,Friday,18852
8330,2004-08-17,Beech 99,United States of America,2,0,1.0,1.0,Alpine Aviation,1968-01-01,Destroyed,En route (ENR),Cargo,Beech,2004,August,Tuesday,13378
8331,2004-08-18,Cessna 208B Grand Caravan,Democratic Republic of the Congo,3,0,1.0,2.0,Transworld Safaris,1999-01-01,Damaged beyond repair,En route (ENR),Cargo,Cessna,2004,August,Wednesday,2056
8332,2004-08-21,Shorts 360-300,Venezuela,30,0,3.0,27.0,Venezuela AF,1987-01-01,Damaged beyond repair,En route (ENR),Military,Shorts,2004,August,Saturday,6442
8333,2004-08-24,Tupolev Tu-134A-3,Russia,44,0,9.0,35.0,Volga-Aviaexpress,1977-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Tupolev,2004,August,Tuesday,10097
8334,2004-08-24,Tupolev Tu-154B-2,Russia,46,0,8.0,38.0,Sibir Airlines,1982-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Tupolev,2004,August,Tuesday,8271
8335,2004-08-27,DHC-3 Otter,United States of America,1,0,1.0,2.0,Mavrik Aire,1956-01-01,Destroyed,En route (ENR),Executive,DHC-3,2004,August,Friday,17771
8337,2004-09-29,BN-2A-27 Islander,Puerto Rico,1,0,1.0,0.0,Air Flamenco,1981-01-01,Damaged beyond repair,En route (ENR),Cargo,BN-2A-27,2004,September,Wednesday,8672
8338,2004-10-05,Antonov An-12,Sudan,4,0,4.0,0.0,Sarit Airlines,1970-01-01,Damaged beyond repair,En route (ENR),Cargo,Antonov,2004,October,Tuesday,12696
8339,2004-10-14,Boeing 747-244BSF,Canada,7,0,7.0,0.0,MK Airlines,1980-01-01,Damaged beyond repair,Takeoff (TOF),Cargo,Boeing,2004,October,Thursday,9053
8340,2004-10-14,Canadair CRJ-200LR,United States of America,2,0,2.0,0.0,"Pinnacle Airlines, op.for Northwest Airlink",2000-01-01,Damaged beyond repair,Approach (APR),Ferry/positioning,Canadair,2004,October,Thursday,1748
8341,2004-10-15,Douglas DC-3C,Colombia,3,0,3.0,0.0,Aerovanguardia,1945-01-01,Destroyed,Approach (APR),Cargo,Douglas,2004,October,Friday,21837
8342,2004-10-16,BN-2A-21 Islander,Philippines,2,0,2.0,0.0,Pacific Airways,1977-01-01,Damaged beyond repair,En route (ENR),Cargo,BN-2A-21,2004,October,Saturday,10150
8343,2004-10-19,BAe 3201 Jetstream 32EP,United States of America,13,0,2.0,13.0,"Corporate Airlines, op.for AmericanConnection",1990-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,BAe,2004,October,Tuesday,5405
8344,2004-10-22,Cessna F406 Caravan II,United Kingdom,1,0,1.0,0.0,Highland Airways,1987-01-01,Destroyed,En route (ENR),Ferry/positioning,Cessna,2004,October,Friday,6504
8345,2004-10-24,Learjet 35A,United States of America,5,0,2.0,3.0,Med Flight Air Ambulance,1980-01-01,Destroyed,En route (ENR),Ferry/positioning,Learjet,2004,October,Sunday,9063
8346,2004-10-24,Beech 200 Super King Air,United States of America,10,0,2.0,8.0,Hendrick Motorsports,1981-01-01,Destroyed,Approach (APR),Executive,Beech,2004,October,Sunday,8697
8347,2004-11-18,BAe 3101 Jetstream 31,Venezuela,2,0,2.0,19.0,RAVSA,1987-01-01,Destroyed,Landing (LDG),Domestic Scheduled Passenger,BAe,2004,November,Thursday,6531
8348,2004-11-21,Canadair CRJ-200LR,China,53,2,6.0,47.0,China Yunnan,2002-01-01,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,Canadair,2004,November,Sunday,1055
8349,2004-11-22,Gulfstream Aerospace G-1159A Gulfst,United States of America,3,0,3.0,0.0,Business Jet Services,1984-01-01,Destroyed,Approach (APR),Ferry/positioning,Gulfstream,2004,November,Monday,7631
8350,2004-11-27,CASA C-212 Aviocar 200,Afghanistan,6,0,3.0,3.0,"Presidential Airways, op.for US DoD",1982-01-01,Damaged beyond repair,En route (ENR),Military,CASA,2004,November,Saturday,8366
8351,2004-11-28,Canadair Challenger 601,United States of America,3,0,3.0,3.0,"Hop-A-Jet Inc, op.for Global Aviation",1983-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Non Scheduled Passenger,Canadair,2004,November,Sunday,8002
8352,2004-11-30,DC-9-82 (MD-82),Indonesia,25,0,7.0,156.0,Lion Air,1984-01-01,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,DC-9-82,2004,November,Tuesday,7639
8353,2004-11-30,MBB HFB-320 Hansa Jet,United States of America,2,0,2.0,0.0,Grand Aire Express,1969-01-01,Destroyed,En route (ENR),Ferry/positioning,MBB,2004,November,Tuesday,13117
8354,2004-12-06,Cessna 208B Grand Caravan,United States of America,2,0,1.0,1.0,Salmon Air,2000-01-01,Destroyed,Approach (APR),Cargo,Cessna,2004,December,Monday,1801
8355,2004-12-10,PZL-Mielec M28 Skytruck,Venezuela,16,0,3.0,13.0,Venezuela ANG,1998-01-01,Damaged beyond repair,En route (ENR),Military,PZL-Mielec,2004,December,Friday,2535
8356,2004-12-11,Embraer EMB-110 Bandeirante,Brazil,2,1,2.0,0.0,NHR T�xi-A�reo,1975-01-01,Destroyed,Approach (APR),Cargo,Embraer,2004,December,Saturday,10937
8357,2004-12-11,Ilyushin Il-76TD,Saudi Arabia,1,0,7.0,0.0,Airline Transport,1979-01-01,Minor,En route (ENR),Cargo,Ilyushin,2004,December,Saturday,9476
8358,2005-01-08,Antonov An-12,Uganda,6,0,6.0,0.0,Services Air,1964-01-01,Damaged beyond repair,Approach (APR),Cargo,Antonov,2005,January,Saturday,14983
8359,2005-01-13,Embraer EMB-110P1 Bandeirante,United States of America,1,0,1.0,0.0,AirNow,1980-01-01,Damaged beyond repair,Landing (LDG),Cargo,Embraer,2005,January,Thursday,9144
8360,2005-01-13,Antonov An-2,Russia,9,0,2.0,7.0,Tura Air Enterprise,1978-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Antonov,2005,January,Thursday,9874
8361,2005-01-27,Let L-410UVP-E4,Romania,2,0,2.0,0.0,Farnair Hungary,1987-01-01,Damaged beyond repair,Approach (APR),Cargo,Let,2005,January,Thursday,6601
8362,2005-01-30,Lockheed Hercules C.1 (C-130K),Iraq,10,0,8.0,2.0,RAF,1967-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,2005,January,Sunday,13909
8363,2005-02-03,Ilyushin Il-76TD,Sudan,7,0,7.0,0.0,Air West,1982-01-01,Damaged beyond repair,En route (ENR),Cargo,Ilyushin,2005,February,Thursday,8434
8364,2005-02-03,Boeing 737-242,Afghanistan,105,0,8.0,97.0,"Phoenix Aviation, op.for Kam Air",1980-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Boeing,2005,February,Thursday,9165
8365,2005-02-16,Cessna 560 Citation V,United States of America,8,0,2.0,6.0,Circuit City Stores,1991-01-01,Destroyed,Approach (APR),Executive,Cessna,2005,February,Wednesday,5160
8366,2005-02-22,DHC-6 Twin Otter 300,Papua New Guinea,2,0,3.0,10.0,MAF PNG,1968-01-01,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,DHC-6,2005,February,Tuesday,13567
8367,2005-02-22,CASA/Nurtanio NC-212 Aviocar,Indonesia,15,0,4.0,14.0,Indonesian Police,1976-01-01,Damaged beyond repair,Approach (APR),Military,CASA/Nurtanio,2005,February,Tuesday,10645
8368,2005-02-24,IAI 1124 Westwind,Mexico,7,0,2.0,5.0,Colima State Government,1979-01-01,Destroyed,En route (ENR),Executive,IAI,2005,February,Thursday,9551
8370,2005-03-08,Cessna 500 Citation I,Venezuela,2,0,2.0,0.0,Air Global,1973-01-01,Damaged beyond repair,Approach (APR),Executive,Cessna,2005,March,Tuesday,11754
8371,2005-03-08,Antonov An-2TP,Venezuela,2,0,2.0,0.0,Transmandu,1991-01-01,Damaged beyond repair,En route (ENR),Unknown,Antonov,2005,March,Tuesday,5180
8372,2005-03-15,BN-2B-26 Islander,United Kingdom,2,0,1.0,1.0,Loganair,1989-01-01,Damaged beyond repair,Approach (APR),Ambulance,BN-2B-26,2005,March,Tuesday,5917
8373,2005-03-16,Antonov An-24RV,Russia,28,0,7.0,45.0,"Kuzbassaviafrakht, op.for Regional Airlines",1972-01-01,Destroyed,Approach (APR),Domestic Non Scheduled Passenger,Antonov,2005,March,Wednesday,12128
8374,2005-03-18,Canadair CL-415,Italy,2,0,2.0,0.0,"Civil Protection Department, op.for SOREM",2001-01-01,Destroyed,Maneuvering (MNV),Fire fighting,Canadair,2005,March,Friday,1537
8375,2005-03-23,Ilyushin Il-76TD,Tanzania,8,0,8.0,0.0,Airline Transport,1984-01-01,Destroyed,Initial climb (ICL),Cargo,Ilyushin,2005,March,Wednesday,7752
8376,2005-03-26,Let L-410UVP-E,Colombia,9,0,2.0,12.0,West Caribbean Airways,1990-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,Let,2005,March,Saturday,5563
8377,2005-03-31,Lockheed MC-130H Combat Talon II,Albania,9,0,9.0,0.0,USAF,1987-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,2005,March,Thursday,6664
8379,2005-04-12,DHC-6 Twin Otter 100,Indonesia,17,0,3.0,14.0,GT Air,1966-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,DHC-6,2005,April,Tuesday,14346
8380,2005-04-20,Boeing 707-3J9C,Iran,3,0,12.0,157.0,Saha Air,1976-01-01,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,Boeing,2005,April,Wednesday,10702
8381,2005-04-20,Lockheed P-3B Orion,United States of America,3,0,3.0,0.0,Aero Union,1966-01-01,Damaged beyond repair,En route (ENR),Training,Lockheed,2005,April,Wednesday,14354
8383,2005-05-02,Swearingen SA227-AC Metro III,New Zealand,2,0,2.0,0.0,Airwork NZ,1983-01-01,Destroyed,En route (ENR),Cargo,Swearingen,2005,May,Monday,8157
8384,2005-05-05,Antonov An-26B,Democratic Republic of the Congo,10,0,4.0,7.0,"Aeroworld, op.for Kisangani Airlift",1981-01-01,Damaged beyond repair,Approach (APR),Passenger,Antonov,2005,May,Thursday,8890
8385,2005-05-07,Swearingen SA227-DC Metro 23,Australia,15,0,2.0,13.0,"Transair Australia, op.for Aero-Tropics",1992-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Swearingen,2005,May,Saturday,4875
8386,2005-05-11,Antonov An-2,Ukraine,2,0,2.0,0.0,Bosfor,1980-01-01,Damaged beyond repair,Unknown (UNK),Agricultural,Antonov,2005,May,Wednesday,9262
8388,2005-05-24,Beech 300 King Air 350,Venezuela,2,0,1.0,1.0,Polar Agroservicios/Transpolar Company,2001-01-01,Damaged beyond repair,En route (ENR),Private,Beech,2005,May,Tuesday,1604
8389,2005-05-25,Antonov An-12BP,Democratic Republic of the Congo,27,0,5.0,22.0,Victoria Air,1964-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Antonov,2005,May,Wednesday,15120
8390,2005-06-02,Antonov An-24B,Sudan,7,0,6.0,36.0,"al-Majal Company, op.for Marsland Aviation",1966-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Antonov,2005,June,Thursday,14397
8391,2005-07-16,Antonov An-24B,Equatorial Guinea,60,0,6.0,54.0,Equatorial Express Airlines,1967-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Antonov,2005,July,Saturday,14076
8393,2005-07-26,Cessna 208B Grand Caravan,Guatemala,2,0,1.0,1.0,A�reo Ruta Maya,2004-01-01,Damaged beyond repair,Maneuvering (MNV),Agricultural,Cessna,2005,July,Tuesday,572
8394,2005-07-28,Beech 200 Super King Air,Canada,2,0,2.0,0.0,Northern Thunderbird Air,1974-01-01,Destroyed,En route (ENR),Ferry/positioning,Beech,2005,July,Thursday,11531
8395,2005-08-01,Canadair CL-415,France,2,0,2.0,0.0,Securit� Civile,1995-01-01,Destroyed,Maneuvering (MNV),Fire fighting,Canadair,2005,August,Monday,3865
8396,2005-08-06,ATR 72-202,Italy,16,0,4.0,35.0,Tuninter,1991-01-01,Destroyed,En route (ENR),Int'l Non Scheduled Passenger,ATR,2005,August,Saturday,5331
8398,2005-08-14,Boeing 737-31S,Greece,121,0,6.0,115.0,Helios Airways,1997-01-01,Destroyed,En route (ENR),International Scheduled Passenger,Boeing,2005,August,Sunday,3147
8399,2005-08-14,Dornier Do 28D-2 Skyservant,Venezuela,1,0,1.0,12.0,Linea A�reo-Taxi Wayumi,1971-01-01,Damaged beyond repair,Takeoff (TOF),Passenger,Dornier,2005,August,Sunday,12644
8400,2005-08-16,DC-9-82 (MD-82),Venezuela,160,0,8.0,152.0,West Caribbean Airways,1986-01-01,Destroyed,En route (ENR),Int'l Non Scheduled Passenger,DC-9-82,2005,August,Tuesday,7167
8401,2005-08-23,Boeing 737-244,Peru,40,0,7.0,91.0,TANS,1981-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Boeing,2005,August,Tuesday,9000
8402,2005-09-04,Antonov An-2R,Russia,3,0,2.0,1.0,ROSTO Polyot,1976-01-01,Damaged beyond repair,En route (ENR),Cargo,Antonov,2005,September,Sunday,10839
8403,2005-09-05,Boeing 737-230,Indonesia,100,49,5.0,112.0,Mandala Airlines,1981-01-01,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,Boeing,2005,September,Monday,9013
8404,2005-09-05,Antonov An-26B,Democratic Republic of the Congo,11,0,4.0,7.0,"Aerocom, op.for Galaxy Incorporation",1979-01-01,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,Antonov,2005,September,Monday,9744
8405,2005-09-09,Antonov An-26B,Congo,13,0,4.0,9.0,Air Kasai,1983-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Antonov,2005,September,Friday,8287
8406,2005-09-16,Cessna 525 CitationJet,Brazil,2,0,2.0,0.0,Via��o Cometa,1997-01-01,Damaged beyond repair,Initial climb (ICL),Ferry/positioning,Cessna,2005,September,Friday,3180
8409,2005-10-06,Cessna 208B Super Cargomaster,Canada,1,0,1.0,0.0,"FedEx, opb Morningstar Air Express",1996-01-01,Destroyed,Approach (APR),Cargo,Cessna,2005,October,Thursday,3566
8410,2005-10-22,Boeing 737-2L9,Nigeria,117,0,6.0,111.0,Bellview Airlines,1981-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Boeing,2005,October,Saturday,9060
8411,2005-10-30,Let L-410UVP-E19A,Italy,3,0,2.0,1.0,Trade Air,1991-01-01,Destroyed,Initial climb (ICL),Cargo,Let,2005,October,Sunday,5416
8412,2005-11-04,PZL-Mielec M28-05 Skytruck,Vietnam,3,0,3.0,0.0,Vietnam People's Air Force,2004-01-01,Damaged beyond repair,Unknown (UNK),Military,PZL-Mielec,2005,November,Friday,673
8413,2005-11-05,Cessna 500 Citation I,United States of America,2,0,1.0,1.0,HCEA,1972-01-01,Destroyed,Takeoff (TOF),Unknown,Cessna,2005,November,Saturday,12362
8414,2005-11-11,Ilyushin Il-76TD,Afghanistan,8,0,8.0,0.0,"Global Georgian Airways, op.for Royal Airlines Cargo",1985-01-01,Destroyed,En route (ENR),Cargo,Ilyushin,2005,November,Friday,7619
8415,2005-11-18,BN-2A-21 Islander,Belize,3,0,1.0,2.0,Blancaneaux Lodge,1975-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,BN-2A-21,2005,November,Friday,11279
8416,2005-11-19,Cessna 208B Grand Caravan,Russia,8,0,2.0,6.0,Ivolga-Avia,2004-01-01,Damaged beyond repair,En route (ENR),Private,Cessna,2005,November,Saturday,688
8417,2005-11-28,Beech 200 Super King Air,Nigeria,2,0,2.0,0.0,private,1974-01-01,Damaged beyond repair,Initial climb (ICL),Private,Beech,2005,November,Monday,11654
8418,2005-12-06,Lockheed C-130E Hercules,Iran,94,12,10.0,84.0,Iran AF,1970-01-01,Destroyed,Approach (APR),Military,Lockheed,2005,December,Tuesday,13123
8419,2005-12-08,Boeing 737-7H4 (WL),United States of America,0,1,5.0,98.0,Southwest Airlines,2004-01-01,Substantial,Landing (LDG),Domestic Scheduled Passenger,Boeing,2005,December,Thursday,707
8420,2005-12-10,DC-9-32,Nigeria,108,0,7.0,103.0,Sosoliso Airlines,1972-01-01,Destroyed,Landing (LDG),Domestic Scheduled Passenger,DC-9-32,2005,December,Saturday,12397
8421,2005-12-19,Grumman G-73T Turbo Mallard,United States of America,20,0,2.0,18.0,Chalk's,1947-01-01,Damaged beyond repair,Initial climb (ICL),International Scheduled Passenger,Grumman,2005,December,Monday,21537
8422,2005-12-23,Antonov An-140-100,Azerbaijan,23,0,5.0,18.0,Azerbaijan Airlines,2004-01-01,Destroyed,En route (ENR),International Scheduled Passenger,Antonov,2005,December,Friday,722
8423,2005-12-24,Antonov An-28,Sudan,2,0,2.0,0.0,"Tepavia Trans, op.for African Union",1989-01-01,Damaged beyond repair,Unknown (UNK),Unknown,Antonov,2005,December,Saturday,6201
8424,2005-12-28,Learjet 35A,United States of America,2,0,2.0,0.0,Skyward Aviation,1978-01-01,Damaged beyond repair,Approach (APR),Ferry/positioning,Learjet,2005,December,Wednesday,10223
8425,2006-01-02,BAe-125-700A,Ukraine,3,0,3.0,0.0,Avcom,1981-01-01,Damaged beyond repair,Approach (APR),Ferry/positioning,BAe-125-700A,2006,January,Monday,9132
8427,2006-01-10,Rockwell T-39N Sabreliner,United States of America,4,0,4.0,0.0,US Navy,1966-01-01,Damaged beyond repair,En route (ENR),Military,Rockwell,2006,January,Tuesday,14619
8428,2006-01-12,Beech B300 King Air 350,Germany,2,0,2.0,0.0,Euroflug Frenzel,2001-01-01,Damaged beyond repair,Approach (APR),Ferry/positioning,Beech,2006,January,Thursday,1837
8429,2006-01-19,Antonov An-24V,Hungary,42,0,8.0,35.0,Slovak AF,1969-01-01,Damaged beyond repair,En route (ENR),Military,Antonov,2006,January,Thursday,13532
8430,2006-01-21,Cessna 208B Grand Caravan,Canada,3,0,1.0,7.0,Sonicblue Airways,1995-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Cessna,2006,January,Saturday,4038
8431,2006-01-24,Cessna 560 Citation V,United States of America,4,0,2.0,2.0,Goship Air,1994-01-01,Damaged beyond repair,Landing (LDG),Private,Cessna,2006,January,Tuesday,4406
8432,2006-02-03,Beech 200 Super King Air,United States of America,6,0,1.0,5.0,Private,1977-01-01,Destroyed,Landing (LDG),Private,Beech,2006,February,Friday,10625
8433,2006-02-05,Shorts 360-100,United States of America,3,0,2.0,1.0,Air Cargo Carriers,1988-01-01,Damaged beyond repair,En route (ENR),Test,Shorts,2006,February,Sunday,6610
8434,2006-02-08,Swearingen SA226-TC Metro II,United States of America,1,0,1.0,0.0,TriCoastal Air,1980-01-01,Destroyed,En route (ENR),Cargo,Swearingen,2006,February,Wednesday,9535
8436,2006-02-13,Grumman G-159 Gulfstream I,Guatemala,2,0,2.0,0.0,Private,1966-01-01,Missing,En route (ENR),Illegal Flight,Grumman,2006,February,Monday,14653
8437,2006-02-16,Cessna 501 Citation I/SP,Iraq,6,0,2.0,4.0,Hasit Trockenm�rtel,1985-01-01,Damaged beyond repair,En route (ENR),Executive,Cessna,2006,February,Thursday,7716
8439,2006-03-18,Beech C99,United States of America,2,0,2.0,0.0,Ameriflight,1983-01-01,Damaged beyond repair,En route (ENR),Cargo,Beech,2006,March,Saturday,8477
8440,2006-03-24,Cessna 208B Grand Caravan,Ecuador,5,0,2.0,12.0,ATESA,1997-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,Cessna,2006,March,Friday,3369
8441,2006-03-28,Cessna 208B Grand Caravan,United States of America,2,0,2.0,0.0,Cessna Aircraft,2006-01-01,Damaged beyond repair,En route (ENR),Demonstration,Cessna,2006,March,Tuesday,86
8442,2006-03-31,Let L-410UVP-E20,Brazil,19,0,2.0,17.0,TEAM,1991-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Let,2006,March,Friday,5568
8443,2006-04-10,Harbin Yunshuji Y-12 II,Kenya,14,0,4.0,13.0,Kenyan AF,2000-01-01,Damaged beyond repair,Approach (APR),Military,Harbin,2006,April,Monday,2291
8444,2006-04-11,Antonov An-2R,Bulgaria,2,0,1.0,2.0,Kapoly Air,1962-01-01,Damaged beyond repair,Maneuvering (MNV),Agricultural,Antonov,2006,April,Tuesday,16171
8445,2006-04-16,Fokker F-27 Friendship 400M,Bolivia,1,0,4.0,27.0,TAM,1978-01-01,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,Fokker,2006,April,Sunday,10332
8446,2006-04-23,Antonov An-74TK-200,Cameroon,6,0,6.0,0.0,"Kharkov State Aircraft Mf. Co., op.for Libyan Arab Rep. Air Force",1998-01-01,Damaged beyond repair,Unknown (UNK),Military,Antonov,2006,April,Sunday,3034
8447,2006-04-23,Antonov An-2R,Russia,4,0,1.0,4.0,"Yugavia, op.for ROSTO Shahty",1986-01-01,Damaged beyond repair,Approach (APR),Illegal Flight,Antonov,2006,April,Sunday,7417
8448,2006-04-24,Antonov An-32B,Afghanistan,2,3,4.0,12.0,"U.S. Department of State, opb Air Million Cargo",1992-01-01,Damaged beyond repair,Landing (LDG),Domestic Non Scheduled Passenger,Antonov,2006,April,Monday,5227
8449,2006-04-27,Convair CV-580F,Democratic Republic of the Congo,8,0,3.0,5.0,"Skyhaul, op.for LAC - SkyCongo",1954-01-01,Damaged beyond repair,Approach (APR),Cargo,Convair,2006,April,Thursday,19109
